Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
"1,1dimethylhydrazine",1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@480,偏二甲肼胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
"1,1dimethylhydrazine",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30654,偏二甲肼单元,gregtech:gt.metaitem.01
"1,4-butanediol",1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11301,"1,4-丁二醇胶囊",bartworks:gt.bwMetaGeneratedcapsule
"1,4-butanediol",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11301,"1,4-丁二醇单元",bartworks:gt.bwMetaGeneratedcell
2-ethyl-1-hexanol,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10059,2-乙基己醇胶囊,bartworks:gt.bwMetaGeneratedcapsule
2-ethyl-1-hexanol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10059,2-乙基己醇单元,bartworks:gt.bwMetaGeneratedcell
2-tert-butyl-anthrahydroquinone,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@29920,2-叔丁基蒽氢醌胶囊,bartworks:gt.bwMetaGeneratedcapsule
2-tert-butyl-anthrahydroquinone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@29920,2-叔丁基蒽氢醌单元,bartworks:gt.bwMetaGeneratedcell
2-tert-butyl-anthraquinone,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@29919,2-叔丁基蒽醌胶囊,bartworks:gt.bwMetaGeneratedcapsule
2-tert-butyl-anthraquinone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@29919,2-叔丁基蒽醌单元,bartworks:gt.bwMetaGeneratedcell
2nitrochlorobenzene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30592,2-硝基氯苯单元,gregtech:gt.metaitem.01
2nitrochlorobenzene,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@650,2-硝基氯苯胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
"3,3diaminobenzidine",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30597,"3,3'-二氨基联苯胺单元",gregtech:gt.metaitem.01
"3,3diaminobenzidine",1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@655,"3,3-二氨基联苯胺胶囊",bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
"3,3dichlorobenzidine",1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30596,"3,3'-二氯联苯胺单元",gregtech:gt.metaitem.01
"3,3dichlorobenzidine",1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@654,"3,3-二氯联苯胺胶囊",bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
aceticacid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30670,乙酸单元,gregtech:gt.metaitem.01
acetone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30672,丙酮单元,gregtech:gt.metaitem.01
acetylhydrazine,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@29927,乙酰肼胶囊,bartworks:gt.bwMetaGeneratedcapsule
